WKT,ID,evC1997,Dns1997,NN_I1997,dn_1997,NN_1997,SCDI1997,evC1998,Dns1998,NN_I1998,dn_1998,NN_1998,SCDI1998,evC1999,Dns1999,NN_I1999,dn_1999,NN_1999,SCDI1999,evC2000,Dns2000,NN_I2000,dn_2000,NN_2000,SCDI2000,evC2001,Dns2001,NN_I2001,dn_2001,NN_2001,SCDI2001,evC2002,Dns2002,NN_I2002,dn_2002,NN_2002,SCDI2002,evC2003,Dns2003,NN_I2003,dn_2003,NN_2003,SCDI2003,evC2004,Dns2004,NN_I2004,dn_2004,NN_2004,SCDI2004,evC2005,Dns2005,NN_I2005,dn_2005,NN_2005,SCDI2005,evC2006,Dns2006,NN_I2006,dn_2006,NN_2006,SCDI2006,evC2007,Dns2007,NN_I2007,dn_2007,NN_2007,SCDI2007,evC2008,Dns2008,NN_I2008,dn_2008,NN_2008,SCDI2008,evC2009,Dns2009,NN_I2009,dn_2009,NN_2009,SCDI2009,evC2010,Dns2010,NN_I2010,dn_2010,NN_2010,SCDI2010,evC2011,Dns2011,NN_I2011,dn_2011,NN_2011,SCDI2011,evC2012,Dns2012,NN_I2012,dn_2012,NN_2012,SCDI2012,evC2013,Dns2013,NN_I2013,dn_2013,NN_2013,SCDI2013,evC2014,Dns2014,NN_I2014,dn_2014,NN_2014,SCDI2014,evC2015,Dns2015,NN_I2015,dn_2015,NN_2015,SCDI2015,evC2016,Dns2016,NN_I2016,dn_2016,NN_2016,SCDI2016,evC2017,Dns2017,NN_I2017,dn_2017,NN_2017,SCDI2017,evC2018,Dns2018,NN_I2018,dn_2018,NN_2018,SCDI2018,evC2019,Dns2019,NN_I2019,dn_2019,NN_2019,SCDI2019,evC2020,Dns2020,NN_I2020,dn_2020,NN_2020,SCDI2020,evC2021,Dns2021,NN_I2021,dn_2021,NN_2021,SCDI2021,evC2022,Dns2022,NN_I2022,dn_2022,NN_2022,SCDI2022,evC2023,Dns2023,NN_I2023,dn_2023,NN_2023,SCDI2023,countries
"MULTIPOLYGON (((12.0583332153548 2.06666666631166,12.0583332150823 2.48333333077867,12.4749998795431 2.48333333067106,12.4749998802283 2.06666666570665,12.0583332153548 2.06666666631166)))","11","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((12.4749998802283 2.06666666570665,12.4749998795431 2.48333333067106,12.89166654471 2.48333333099389,12.8916665449405 2.06666666614159,12.4749998802283 2.06666666570665)))","12","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((12.8916665449405 2.06666666614159,12.89166654471 2.48333333099389,13.3083332100727 2.48333333087486,13.3083332099362 2.06666666576715,12.8916665449405 2.06666666614159)))","13","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((13.3083332099362 2.06666666576715,13.3083332100727 2.48333333087486,13.7249998751323 2.48333333137434,13.7249998747131 2.06666666564567,13.3083332099362 2.06666666576715)))","14","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((13.7249998747131 2.06666666564567,13.7249998751323 2.48333333137434,14.1416665403373 2.4833333306363,14.1416665397272 2.06666666586005,13.7249998747131 2.06666666564567)))","15","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((14.1416665397272 2.06666666586005,14.1416665403373 2.4833333306363,14.5583332051935 2.48333333068583,14.5583332054295 2.06666666552086,14.1416665397272 2.06666666586005)))","16","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((14.5583332054295 2.06666666552086,14.5583332051935 2.48333333068583,14.9749998701548 2.48333333063059,14.9749998703534 2.06666666568521,14.5583332054295 2.06666666552086)))","17","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((14.9749998703534 2.06666666568521,14.9749998701548 2.48333333063059,15.3916665347166 2.48333333054917,15.3916665349545 2.06666666642789,14.9749998703534 2.06666666568521)))","18","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((15.3916665349545 2.06666666642789,15.3916665347166 2.48333333054917,15.8083332003057 2.48333333147815,15.8083331996801 2.06666666587957,15.3916665349545 2.06666666642789)))","19","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
"MULTIPOLYGON (((15.8083331996801 2.06666666587957,15.8083332003057 2.48333333147815,16.2249998654412 2.48333333058678,16.2249998649949 2.06666666604917,15.8083331996801 2.06666666587957)))","20","0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,"0",,,,,NANA,Cameroon
